question,answer,category,id
What is the application fee for B.Tech CSE?,"Pursue advanced education, research and development, and other creative and innovative efforts in science, engineering, and technology, as well as other professional careers. PO1 Ability to apply knowledge of Mathematics, science and Engineering PO2 Ability to identify, formulate, and solve engineering problems PO3 Ability to design a system, component or process, to meet desired needs within realistic constraints such as economic, environmental, social, political, ethical, health and safety,...",admissions,q_1_1
What is the application fee for B.Tech CSE with Minor from other Department?,"Tech CSE with Minor from other Department ▾ Basic Courses 18SC1103 - Single variable calculus and matrix algebra (Credits:3) 18SC1104 - Foundations of Computational Mathematics (Credits:1) 18SC1105 - Logic and reasoning (Credits:1) Engineering Sciences 18SC1101 - Problem solving & computer programming (Credits:4) 18SC1106 - Technical Skill - 1 (Coding) (Credits:1. Pursue advanced education, research and development, and other creative and innovative efforts in science, engineering, and techno...",admissions,q_1_1
What is the application fee for B.Tech CSE Honors?,"Tech CSE Honors ▾ Basic Courses 18SC1103 - Single variable calculus and matrix algebra (Credits:3) 18SC1104 - Foundations of Computational Mathematics (Credits:1) 18SC1105 - Logic and reasoning (Credits:1) Engineering Sciences 18SC1101 - Problem solving & computer programming (Credits:4) 18SC1106 - Technical Skill - 1 (Coding) (Credits:1. Pursue advanced education, research and development, and other creative and innovative efforts in science, engineering, and technology, as well as other pro...",admissions,q_1_1
What are the eligibility criteria for B.Tech CSE?,"Pursue advanced education, research and development, and other creative and innovative efforts in science, engineering, and technology, as well as other professional careers. PO1 Ability to apply knowledge of Mathematics, science and Engineering PO2 Ability to identify, formulate, and solve engineering problems PO3 Ability to design a system, component or process, to meet desired needs within realistic constraints such as economic, environmental, social, political, ethical, health and safety,...",admissions,q_1_1
What are the eligibility criteria for B.Tech CSE with Minor from other Department?,"Tech CSE with Minor from other Department ▾ Basic Courses 18SC1103 - Single variable calculus and matrix algebra (Credits:3) 18SC1104 - Foundations of Computational Mathematics (Credits:1) 18SC1105 - Logic and reasoning (Credits:1) Engineering Sciences 18SC1101 - Problem solving & computer programming (Credits:4) 18SC1106 - Technical Skill - 1 (Coding) (Credits:1. Pursue advanced education, research and development, and other creative and innovative efforts in science, engineering, and techno...",admissions,q_1_1
What are the eligibility criteria for B.Tech CSE Honors?,"Tech CSE Honors ▾ Basic Courses 18SC1103 - Single variable calculus and matrix algebra (Credits:3) 18SC1104 - Foundations of Computational Mathematics (Credits:1) 18SC1105 - Logic and reasoning (Credits:1) Engineering Sciences 18SC1101 - Problem solving & computer programming (Credits:4) 18SC1106 - Technical Skill - 1 (Coding) (Credits:1. Pursue advanced education, research and development, and other creative and innovative efforts in science, engineering, and technology, as well as other pro...",admissions,q_1_1
What entrance exams are accepted for B.Tech CSE?,"Mohan Kumar, Jetti Kumar Certified Network Forensic Professional CNS Research Group Dr K Raja Sekhar / Mr Ch. Praveen Krishna Vision Department of CSE aims to make a stance of international repute through continuous research, innovation and industry led curriculum.",admissions,q_1_1
What entrance exams are accepted for B.Tech CSE with Minor from other Department?,"Tech CSE with Minor from other Department ▾ Basic Courses 18SC1103 - Single variable calculus and matrix algebra (Credits:3) 18SC1104 - Foundations of Computational Mathematics (Credits:1) 18SC1105 - Logic and reasoning (Credits:1) Engineering Sciences 18SC1101 - Problem solving & computer programming (Credits:4) 18SC1106 - Technical Skill - 1 (Coding) (Credits:1. Praveen Krishna Vision Department of CSE aims to make a stance of international repute through continuous research, innovation and...",admissions,q_1_1
What entrance exams are accepted for B.Tech CSE Honors?,"Tech CSE Honors ▾ Basic Courses 18SC1103 - Single variable calculus and matrix algebra (Credits:3) 18SC1104 - Foundations of Computational Mathematics (Credits:1) 18SC1105 - Logic and reasoning (Credits:1) Engineering Sciences 18SC1101 - Problem solving & computer programming (Credits:4) 18SC1106 - Technical Skill - 1 (Coding) (Credits:1. Mohan Kumar, Jetti Kumar Certified Network Forensic Professional CNS Research Group Dr K Raja Sekhar / Mr Ch.",admissions,q_1_1
How can I apply for B.Tech CSE?,"PO1 Ability to apply knowledge of Mathematics, science and Engineering PO2 Ability to identify, formulate, and solve engineering problems PO3 Ability to design a system, component or process, to meet desired needs within realistic constraints such as economic, environmental, social, political, ethical, health and safety, manufacturability, and sustainability PO4 Ability to design and conduct experiments, as well as to analyze and interpret data PO5 Ability to use the techniques, skills, and m...",admissions,q_1_1
How can I apply for B.Tech CSE with Minor from other Department?,"Tech CSE with Minor from other Department ▾ Basic Courses 18SC1103 - Single variable calculus and matrix algebra (Credits:3) 18SC1104 - Foundations of Computational Mathematics (Credits:1) 18SC1105 - Logic and reasoning (Credits:1) Engineering Sciences 18SC1101 - Problem solving & computer programming (Credits:4) 18SC1106 - Technical Skill - 1 (Coding) (Credits:1. PO1 Ability to apply knowledge of Mathematics, science and Engineering PO2 Ability to identify, formulate, and solve engineering p...",admissions,q_1_1
How can I apply for B.Tech CSE Honors?,"PO1 Ability to apply knowledge of Mathematics, science and Engineering PO2 Ability to identify, formulate, and solve engineering problems PO3 Ability to design a system, component or process, to meet desired needs within realistic constraints such as economic, environmental, social, political, ethical, health and safety, manufacturability, and sustainability PO4 Ability to design and conduct experiments, as well as to analyze and interpret data PO5 Ability to use the techniques, skills, and m...",admissions,q_1_1
What documents are required for B.Tech CSE admission?,"Mohan Kumar, Jetti Kumar Certified Network Forensic Professional CNS Research Group Dr K Raja Sekhar / Mr Ch. Praveen Krishna Vision Department of CSE aims to make a stance of international repute through continuous research, innovation and industry led curriculum.",admissions,q_1_1
What documents are required for B.Tech CSE with Minor from other Department admission?,"Tech CSE with Minor from other Department ▾ Basic Courses 18SC1103 - Single variable calculus and matrix algebra (Credits:3) 18SC1104 - Foundations of Computational Mathematics (Credits:1) 18SC1105 - Logic and reasoning (Credits:1) Engineering Sciences 18SC1101 - Problem solving & computer programming (Credits:4) 18SC1106 - Technical Skill - 1 (Coding) (Credits:1. Praveen Krishna Vision Department of CSE aims to make a stance of international repute through continuous research, innovation and...",admissions,q_1_1
